name,rating,runtime,genre,votescore,metacritic,year,votes,gross,budget,director
The Wild,G,82 min,"Animation, Adventure, Comedy",5.2,47,(2006),"26,142",$37.38M,"$80,000,000 (estimated)",Steve 'Spaz' Williams
The Witcher: Nightmare of the Wolf,TV-MA,83 min,"Animation, Action, Adventure",7.2,67,(2021),"43,778",,-1,Kwang Il Han
Titan A.E.,PG,94 min,"Animation, Action, Adventure",6.6,48,(2000),"61,543",$22.75M,"$75,000,000 (estimated)",Don Bluth
The Girl Who Leapt Through Time,TV-PG,98 min,"Animation, Adventure, Comedy",7.7,,(2006),"66,497",,"$873,435",Mamoru Hosoda
Tom & Jerry,PG,101 min,"Animation, Adventure, Comedy",5.2,32,(2021),"35,150",,"$79,000,000 (estimated)",Tim Story
My Neighbor Totoro,G,86 min,"Animation, Comedy, Family",8.1,86,(1988),"336,661",$1.11M,"$3,700,000 (estimated)",Hayao Miyazaki
Toy Story,G,81 min,"Animation, Adventure, Comedy",8.3,95,(1995),"985,588",$191.80M,"$30,000,000 (estimated)",John Lasseter
Toy Story 2,G,92 min,"Animation, Adventure, Comedy",7.9,88,(1999),"578,009",$245.85M,"$90,000,000 (estimated)",John Lasseter
Toy Story 3,G,103 min,"Animation, Adventure, Comedy",8.3,92,(2010),"830,497",$415.00M,"$200,000,000 (estimated)",Lee Unkrich
Toy Story 4,G,100 min,"Animation, Adventure, Comedy",7.7,84,(2019),"248,473",$434.04M,"$200,000,000 (estimated)",Josh Cooley
Treasure Planet,PG,95 min,"Animation, Adventure, Family",7.1,60,(2002),"118,791",$38.18M,"$140,000,000 (estimated)",Ron Clements
Trolls,PG,92 min,"Animation, Adventure, Comedy",6.4,55,(2016),"82,083",$153.71M,"$125,000,000 (estimated)",Mike Mitchell
Turbo,PG,96 min,"Animation, Adventure, Comedy",6.4,58,(2013),"97,964",$83.03M,"$135,000,000 (estimated)",David Soren
Turning Red,PG,100 min,"Animation, Adventure, Comedy",7.0,83,(2022),"116,262",,"$175,000,000 (estimated)",Domee Shi
Tokyo Godfathers,PG-13,92 min,"Animation, Adventure, Comedy",7.8,73,(2003),"40,429",$0.13M,"$367,131",Satoshi Kon
Up,PG,96 min,"Animation, Adventure, Comedy",8.3,88,(2009),"1,035,352",$293.00M,"$175,000,000 (estimated)",Pete Docter
Vampire Hunter D: Bloodlust,R,103 min,"Animation, Action, Drama",7.6,62,(2000),"32,321",$0.15M,"$151,086",Jack Fletcher
WALL·E,G,98 min,"Animation, Adventure, Family",8.4,95,(2008),"1,106,451",$223.81M,"$180,000,000 (estimated)",Andrew Stanton
Waking Life,R,99 min,"Animation, Drama, Fantasy",7.7,83,(2001),"64,405",$2.89M,"$2,901,447",Richard Linklater
Watership Down,PG,91 min,"Animation, Adventure, Drama",7.6,64,(1978),"36,933",,-1,Martin Rosen
Who Framed Roger Rabbit,PG,104 min,"Animation, Adventure, Comedy",7.7,83,(1988),"201,330",$156.45M,"$70,000,000 (estimated)",Robert Zemeckis
Winnie the Pooh,G,63 min,"Animation, Adventure, Comedy",7.1,74,(2011),"25,491",$26.69M,"$30,000,000 (estimated)",Stephen J. Anderson
Wish Dragon,PG,98 min,"Animation, Adventure, Comedy",7.2,59,(2021),"26,823",,"$21,120,000",Chris Appelhans
Wolfwalkers,PG,103 min,"Animation, Adventure, Family",8.0,87,(2020),"32,143",,"$12,000,000 (estimated)",Tomm Moore
Wreck-It Ralph,PG,101 min,"Animation, Adventure, Comedy",7.7,72,(2012),"421,019",$189.42M,"$165,000,000 (estimated)",Rich Moore
Yellow Submarine,G,85 min,"Animation, Adventure, Comedy",7.4,79,(1968),"26,501",$0.99M,"£250,000 (estimated)",George Dunning
Zootopia,PG,108 min,"Animation, Adventure, Comedy",8.0,78,(2016),"494,634",$341.27M,"$150,000,000 (estimated)",Byron Howard
Wolf Children,PG,117 min,"Animation, Drama, Family",8.1,71,(2012),"45,024",,"$54,999,779",Mamoru Hosoda
